TODO,TODO
In Progress,In Progress
Done,Done
Add New Task,Add New Task
Task Name,Task Name
Task Description,Task Description
Start Time,Start Time
End Time,End Time
Assigned Person,Assigned Person
Status,Status
Action,Action
Task has been deleted.,Task has been deleted.
The Task has been saved Successfully.,The Task has been saved Successfully.
Something went wrong while saving the Task.,Something went wrong while saving the Task.
